SMILES,Name,pChEMBL,IC50_nM,NR-AhR,hERG,DILI,ClinTox,AMES,CYP1A2_Veith,CYP2D6_Veith,CYP3A4_Veith,CYP2C9_Veith,SR-ARE,SR-MMP,NR-AR,BBB_Martins,HIA_Hou
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL51659,9.04,0.9,0.9638,0.5587,0.9835,0.3464,0.3875,0.9206,0.2734,0.67,0.2749,0.906,0.8761,0.0708,0.2594,0.9952
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,CHEMBL338114,9.04,0.9,0.9708,0.7978,0.9822,0.301,0.2842,0.9684,0.5561,0.9759,0.0814,0.6193,0.4496,0.0181,0.2464,1.0
OCC(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,CHEMBL126372,9.04,0.9,0.9147,0.7234,0.9564,0.4827,0.293,0.8363,0.2626,0.5839,0.0302,0.5003,0.2731,0.0353,0.4417,0.9969
CN(C)c1ncc2ncnc(Nc3cccc(Br)c3)c2n1,CHEMBL53777,9.02,0.9,0.986,0.7704,0.9875,0.2922,0.6024,0.9969,0.2679,0.7222,0.1156,0.7503,0.6602,0.0289,0.7362,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,CHEMBL939,9.00,1.0,0.8152,0.9644,0.8895,0.7629,0.6037,0.5472,0.3645,0.8007,0.0934,0.5657,0.2446,0.1,0.8216,0.9997
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL553,9.00,1.0,0.892,0.8063,0.9722,0.3043,0.5187,0.6143,0.0907,0.8594,0.2411,0.7227,0.5687,0.1046,0.4285,0.9997
Cc1cccc(Nc2cc(NCCO)ncn2)c1,CHEMBL415738,9.00,1.0,0.8209,0.503,0.8204,0.2505,0.4884,0.8219,0.1856,0.2103,0.014,0.2784,0.2066,0.0221,0.7057,0.9998
Nc1cc2sc3c(Nc4cccc(Br)c4)ncnc3c2cc1F,CHEMBL153573,9.00,1.0,0.9919,0.7291,0.9829,0.1228,0.8498,0.9826,0.4273,0.8119,0.3026,0.9689,0.977,0.0751,0.5104,1.0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL264382,8.96,1.1,0.7351,0.9758,0.9847,0.7705,0.5732,0.0917,0.1829,0.8307,0.5875,0.7307,0.5375,0.0507,0.4291,0.9961
CN(C)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL334801,8.96,1.1,0.6773,0.7564,0.9499,0.784,0.5993,0.2866,0.1472,0.2914,0.0505,0.5344,0.2457,0.1069,0.3685,0.8473
C=C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL139044,8.96,1.1,0.9601,0.5349,0.9873,0.2834,0.472,0.8991,0.235,0.7175,0.374,0.9375,0.908,0.0707,0.2139,0.9958
CCO.CNc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,CHEMBL358934,8.96,1.1,0.9824,0.8193,0.9848,0.1875,0.6595,0.9286,0.4179,0.7111,0.3698,0.9464,0.9661,0.0538,0.3973,0.9998
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL69358,8.92,1.2,0.7435,0.9198,0.9499,0.8031,0.8108,0.5677,0.2964,0.4889,0.1079,0.5464,0.335,0.0656,0.634,0.9796
CC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL136178,8.92,1.2,0.9117,0.5776,0.9777,0.2185,0.4971,0.8008,0.2926,0.6959,0.4434,0.907,0.9033,0.0948,0.2788,0.9963
C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL92086,8.92,1.2,0.964,0.7193,0.9621,0.2344,0.4077,0.9674,0.5011,0.8748,0.4588,0.8483,0.865,0.0799,0.4737,0.9998
